Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t892,0.0,0.0,13281.354864566178,0.0,13281.354864566178
t893,0.0,0.0,3342.9824497686304,0.0,3342.9824497686304
t894,0.0,0.0,0.0,0.0,0.0
t895,0.0,0.0,0.0,0.0,0.0
t896,0.0,0.0,0.0,0.0,0.0
t897,0.0,0.0,0.0,0.0,0.0
t898,0.0,0.0,0.0,0.0,0.0
t899,0.0,0.0,0.0,0.0,0.0
t900,0.0,0.0,0.0,0.0,0.0
t901,0.0,0.0,0.0,0.0,0.0
t902,0.0,0.0,0.0,0.0,0.0
t903,0.0,0.0,0.0,0.0,0.0
t904,0.0,0.0,0.0,0.0,0.0
t905,0.0,0.0,0.0,0.0,0.0
t906,0.0,0.0,0.0,0.0,0.0
t907,0.0,0.0,0.0,0.0,0.0
t908,0.0,0.0,0.0,0.0,0.0
t909,0.0,0.0,0.0,0.0,0.0
t910,0.0,0.0,0.0,0.0,0.0
t911,0.0,0.0,0.0,0.0,0.0
t912,0.0,0.0,0.0,0.0,0.0
t913,0.0,0.0,0.0,0.0,0.0
t914,0.0,0.0,0.0,0.0,0.0
t915,0.0,0.0,0.0,0.0,0.0
t916,0.0,0.0,0.0,0.0,0.0
t917,0.0,0.0,0.0,0.0,0.0
t918,0.0,0.0,0.0,0.0,0.0
t919,0.0,0.0,0.0,0.0,0.0
t920,0.0,0.0,0.0,0.0,0.0
t921,0.0,0.0,0.0,0.0,0.0
t922,0.0,0.0,0.0,0.0,0.0
t923,0.0,0.0,0.0,0.0,0.0
t924,0.0,0.0,0.0,0.0,0.0
t925,0.0,0.0,0.0,0.0,0.0
t926,0.0,0.0,0.0,0.0,0.0
t927,0.0,0.0,0.0,0.0,0.0
t928,0.0,0.0,0.0,0.0,0.0
t929,0.0,0.0,0.0,0.0,0.0
t930,0.0,0.0,0.0,0.0,0.0
t931,0.0,0.0,0.0,0.0,0.0
t932,0.0,0.0,0.0,0.0,0.0
t933,0.0,0.0,0.0,0.0,0.0
t934,0.0,0.0,0.0,0.0,0.0
t935,0.0,0.0,0.0,0.0,0.0
t936,0.0,0.0,0.0,0.0,0.0
t937,0.0,0.0,0.0,0.0,0.0
t938,0.0,0.0,0.0,0.0,0.0
t939,0.0,0.0,0.0,0.0,0.0
t940,0.0,0.0,0.0,0.0,0.0
t941,0.0,0.0,0.0,0.0,0.0
t942,0.0,0.0,0.0,0.0,0.0
t943,0.0,0.0,0.0,0.0,0.0
t944,0.0,0.0,0.0,0.0,0.0
t945,0.0,0.0,0.0,0.0,0.0
t946,0.0,0.0,0.0,0.0,0.0
t947,0.0,0.0,0.0,0.0,0.0
t948,0.0,0.0,0.0,0.0,0.0
t949,0.0,0.0,0.0,0.0,0.0
t950,0.0,0.0,0.0,0.0,0.0
t951,0.0,0.0,0.0,0.0,0.0
t952,0.0,0.0,0.0,0.0,0.0
t953,0.0,0.0,0.0,0.0,0.0
t954,0.0,0.0,0.0,0.0,0.0
t955,0.0,0.0,0.0,0.0,0.0
t956,0.0,0.0,0.0,0.0,0.0
t957,0.0,0.0,0.0,0.0,0.0
t958,0.0,0.0,0.0,0.0,0.0
t959,0.0,0.0,0.0,0.0,0.0
t960,0.0,0.0,0.0,0.0,0.0
t961,0.0,0.0,0.0,0.0,0.0
t962,0.0,0.0,0.0,0.0,0.0
t963,0.0,0.0,0.0,0.0,0.0
t964,0.0,0.0,0.0,0.0,0.0
t965,0.0,0.0,0.0,0.0,0.0
t966,0.0,0.0,0.0,0.0,0.0
t967,0.0,0.0,0.0,0.0,0.0
t968,0.0,0.0,0.0,0.0,0.0
t969,0.0,0.0,0.0,0.0,0.0
t970,0.0,0.0,0.0,0.0,0.0
t971,0.0,0.0,964.8029576967791,0.0,964.8029576967791
t972,0.0,0.0,0.0,0.0,0.0
t973,0.0,0.0,1300.619682018014,0.0,1300.619682018014
t974,0.0,0.0,0.0,0.0,0.0
t975,0.0,0.0,0.0,0.0,0.0
t976,0.0,0.0,0.0,0.0,0.0
t977,0.0,0.0,0.0,0.0,0.0
t978,0.0,0.0,0.0,0.0,0.0
t979,0.0,0.0,10021.743592899993,0.0,10021.743592899993
t980,0.0,0.0,0.0,0.0,0.0
t981,0.0,0.0,3303.2729450975216,0.0,3303.2729450975216
t982,0.0,0.0,0.0,0.0,0.0
t983,0.0,0.0,0.0,0.0,0.0
t984,0.0,0.0,2604.2885513361007,0.0,2604.2885513361007
t985,0.0,0.0,10146.03294719756,0.0,10146.03294719756
t986,0.0,0.0,0.0,0.0,0.0
t987,0.0,0.0,0.0,0.0,0.0
t988,0.0,0.0,0.0,0.0,0.0
t989,0.0,0.0,0.0,0.0,0.0
t990,0.0,0.0,0.0,0.0,0.0
t991,0.0,0.0,0.0,0.0,0.0
t992,0.0,0.0,0.0,0.0,0.0
t993,0.0,0.0,0.0,0.0,0.0
t994,0.0,0.0,0.0,0.0,0.0
t995,0.0,0.0,0.0,0.0,0.0
t996,0.0,0.0,0.0,0.0,0.0
t997,0.0,0.0,0.0,0.0,0.0
t998,0.0,0.0,4024.6570239180537,0.0,4024.6570239180537
t999,0.0,0.0,1508.2913139275327,0.0,1508.2913139275327
t1000,0.0,0.0,0.0,0.0,0.0
t1001,0.0,0.0,8735.932689202993,0.0,8735.932689202993
t1002,0.0,0.0,14980.264452006903,0.0,14980.264452006903
t1003,0.0,0.0,14557.107573085943,0.0,14557.107573085943
t1004,0.0,0.0,0.0,0.0,0.0
t1005,0.0,0.0,7754.5124854632995,0.0,7754.5124854632995
t1006,0.0,0.0,1723.7083290014502,0.0,1723.7083290014502
t1007,0.0,0.0,1568.7793097268318,0.0,1568.7793097268318
t1008,0.0,0.0,4800.380060341961,0.0,4800.380060341961
t1009,0.0,0.0,7436.120687707494,0.0,7436.120687707494
t1010,0.0,0.0,15870.600893875055,0.0,15870.600893875055
t1011,0.0,0.0,26946.824885394733,0.0,26946.824885394733
t1012,0.0,0.0,7520.591540704608,0.0,7520.591540704608
t1013,0.0,0.0,21753.31526278553,0.0,21753.31526278553
t1014,0.0,0.0,4468.775314363963,0.0,4468.775314363963
t1015,0.0,0.0,18379.44856090277,0.0,18379.44856090277
t1016,0.0,0.0,0.0,0.0,0.0
t1017,0.0,0.0,21990.173920106954,0.0,21990.173920106954
t1018,0.0,0.0,13636.402598370398,0.0,13636.402598370398
t1019,0.0,0.0,24666.089303729255,0.0,24666.089303729255
t1020,0.0,0.0,22149.707247832255,0.0,22149.707247832255
t1021,0.0,0.0,15597.624608332626,0.0,15597.624608332626
t1022,0.0,0.0,5731.945764252776,0.0,5731.945764252776
t1023,0.0,0.0,7157.592271806694,0.0,7157.592271806694
t1024,0.0,0.0,0.0,0.0,0.0
t1025,0.0,0.0,11920.437627308616,0.0,11920.437627308616
t1026,0.0,0.0,7793.627381545475,0.0,7793.627381545475
t1027,0.0,0.0,0.0,0.0,0.0
t1028,0.0,0.0,13089.567270044701,0.0,13089.567270044701
t1029,0.0,0.0,0.0,0.0,0.0
t1030,0.0,0.0,0.0,0.0,0.0
