Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t1011,0.0,0.0,0.0,95.87579417407177,95.87579417407177
t1012,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1013,0.0,0.0,0.0,1313.5005717813403,1313.5005717813403
t1014,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1015,0.0,0.0,0.0,429.6782657978273,429.6782657978273
t1016,0.0,0.0,0.0,8569.29659839358,8569.29659839358
t1017,0.0,0.0,0.0,1826.6989474678173,1826.6989474678173
t1018,0.0,0.0,0.0,7533.633599211383,7533.633599211383
t1019,0.0,0.0,0.0,3436.987063946031,3436.987063946031
t1020,0.0,0.0,0.0,6657.337539581685,6657.337539581685
t1021,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1022,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1023,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1024,0.0,0.0,0.0,7002.9372857358185,7002.9372857358185
t1025,0.0,0.0,0.0,-0.0,0.0
t1026,0.0,0.0,0.0,-0.0,0.0
t1027,0.0,0.0,0.0,4568.009886370547,4568.009886370547
t1028,0.0,0.0,0.0,1557.8545766083912,1557.8545766083912
t1029,0.0,0.0,0.0,8571.77187263795,8571.77187263795
t1030,0.0,0.0,0.0,4098.491647974011,4098.491647974011
t1031,0.0,0.0,0.0,1800.297768886587,1800.297768886587
t1032,0.0,0.0,0.0,5376.744739471933,5376.744739471933
t1033,0.0,0.0,0.0,-0.0,0.0
t1034,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1035,0.0,0.0,0.0,1394.6498439702743,1394.6498439702743
t1036,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1037,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1038,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1039,0.0,0.0,0.0,2133.185883342387,2133.185883342387
t1040,0.0,0.0,0.0,-0.0,0.0
t1041,0.0,0.0,0.0,3640.5822500516115,3640.5822500516115
t1042,0.0,0.0,0.0,5463.896756380071,5463.896756380071
t1043,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1044,0.0,0.0,0.0,7480.151974665027,7480.151974665027
t1045,0.0,0.0,0.0,8005.267120259942,8005.267120259942
t1046,0.0,0.0,0.0,6566.8958096908755,6566.8958096908755
t1047,0.0,0.0,0.0,7046.933333932824,7046.933333932824
t1048,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1049,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1050,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1051,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1052,0.0,0.0,0.0,3307.194322830096,3307.194322830096
t1053,0.0,0.0,0.0,6527.891886385829,6527.891886385829
t1054,0.0,0.0,0.0,-0.0,0.0
t1055,0.0,0.0,0.0,4098.219729591074,4098.219729591074
t1056,0.0,0.0,0.0,-0.0,0.0
t1057,0.0,0.0,0.0,825.4256490790813,825.4256490790813
t1058,0.0,0.0,0.0,2546.8368157662576,2546.8368157662576
