BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t89,8444.44303324315,8933.556966756852,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17378.0
t90,9222.248411651855,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18302.0
t91,14459.735214589493,3700.264785410507,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18160.0
t92,16078.541775198077,1658.4582248019206,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17737.0
t93,17058.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17058.0
t94,15936.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15936.0
t95,15016.581263034377,0.0,-510.5812630343762,0.0,0.0,0.0,0.0,0.0,0.0,-14506.0
t96,13629.768609894294,0.0,-447.7686098942928,0.0,0.0,0.0,0.0,0.0,0.0,-13182.0
t97,11105.269936331577,1230.730063668423,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12336.0
t98,16874.120091669352,0.0,-4989.120091669351,0.0,0.0,0.0,0.0,0.0,0.0,-11885.0
t99,11929.756341124517,0.0,-273.7563411245154,0.0,0.0,0.0,0.0,0.0,0.0,-11656.0
t100,13771.722411123454,0.0,-2156.722411123453,0.0,0.0,0.0,0.0,0.0,0.0,-11615.0
t101,14046.896224295351,0.0,-2133.89622429535,0.0,0.0,0.0,0.0,0.0,0.0,-11913.0
t102,12271.300632985578,618.699367014422,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12890.0
t103,8021.686856770689,6725.313143229311,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14747.0
t104,8869.020282333622,6965.979717666379,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15835.0
t105,13066.676082268212,2884.3239177317896,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15951.0
t106,16934.360861559562,0.0,-913.3608615595587,0.0,0.0,0.0,0.0,0.0,0.0,-16021.0
t107,21151.01315948137,773.0686332240106,-5975.081792705381,0.0,0.0,0.0,0.0,0.0,0.0,-15949.0
t108,24693.315659338874,56.217964504634566,-9023.533623843508,0.0,0.0,0.0,0.0,0.0,0.0,-15726.0
t109,23085.88405029239,762.4337690278775,-8317.317819320266,0.0,0.0,0.0,0.0,0.0,0.0,-15531.0
t110,23965.800822246536,284.47538305080434,-8795.27620529734,0.0,0.0,0.0,0.0,0.0,0.0,-15455.0
t111,24412.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-15333.0
t112,16187.334620867783,4162.208483740181,-4917.543104607963,0.0,0.0,0.0,0.0,0.0,0.0,-15432.0
t113,17167.334620867783,4162.208483740181,-4917.543104607963,0.0,0.0,0.0,0.0,0.0,0.0,-16412.0
t114,14802.41491893643,5881.168334705856,-3198.5832536422877,0.0,0.0,0.0,0.0,0.0,0.0,-17485.0
t115,21615.25432279913,2443.2486327745064,-6636.502955573637,0.0,0.0,0.0,0.0,0.0,0.0,-17422.0
t116,16707.339505521748,318.66049447824975,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17026.0
t117,16766.489242058422,0.0,-376.48924205842354,0.0,0.0,0.0,0.0,0.0,0.0,-16390.0
t118,6778.772687878951,8561.22731212105,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15340.0
t119,13927.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13927.0
t120,9010.005937059117,3697.9940629408825,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12708.0
t121,12261.352232546207,0.0,-352.3522325462054,0.0,0.0,0.0,0.0,0.0,0.0,-11909.0
t122,11476.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11476.0
t123,8510.319126629429,2743.6808733705698,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11254.0
t124,5913.570005507602,5285.429994492399,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11199.0
t125,8400.11518927647,3071.884810723529,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11472.0
t126,10308.079838180667,2133.920161819332,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12442.0
t127,11341.379311310187,2923.6206886898126,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14265.0
t128,9716.624675732577,5641.375324267424,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15358.0
t129,16799.223278313097,0.0,-1315.2232783130971,0.0,0.0,0.0,0.0,0.0,0.0,-15484.0
t130,24579.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-15500.0
t131,23337.114600407895,587.318493970125,-8492.433094378019,0.0,0.0,0.0,0.0,0.0,0.0,-15432.0
t132,19221.533260896413,2530.609163725866,-6549.142424622278,0.0,0.0,0.0,0.0,0.0,0.0,-15203.0
t133,24031.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-14952.0
t134,22499.46438885371,700.1435997472161,-8379.607988600927,0.0,0.0,0.0,0.0,0.0,0.0,-14820.0
t135,16747.015907574307,3473.367840386918,-5606.383747961226,0.0,0.0,0.0,0.0,0.0,0.0,-14614.0
t136,11376.525957707632,3308.4740422923683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14685.0
t137,11035.723490165266,4505.276509834735,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15541.0
t138,14628.361381083781,1733.6386189162167,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16361.999999999998
t139,12684.375347010078,3415.6246529899227,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16100.000000000002
t140,7192.452284437473,8442.547715562527,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15635.0
t141,11130.004238994601,3886.995761005398,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15017.0
t142,11643.25942231084,2568.7405776891587,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14212.0
t143,13161.847832708472,0.0,-45.8478327084737,0.0,0.0,0.0,0.0,0.0,0.0,-13116.0
t144,13506.606533975757,0.0,-1516.6065339757579,0.0,0.0,0.0,0.0,0.0,0.0,-11990.0
t145,12106.377335762103,0.0,-987.3773357621036,0.0,0.0,0.0,0.0,0.0,0.0,-11119.0
t146,14806.732286750104,0.0,-4170.732286750106,0.0,0.0,0.0,0.0,0.0,0.0,-10636.0
t147,17011.216086697124,0.0,-6638.216086697125,0.0,0.0,0.0,0.0,0.0,0.0,-10373.0
t148,15976.103479138825,0.0,-5708.103479138825,0.0,0.0,0.0,0.0,0.0,0.0,-10268.0
t149,11392.122880600647,0.0,-1022.1228806006486,0.0,0.0,0.0,0.0,0.0,0.0,-10370.0
