BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t23,33600.51539967912,3.694226521626982e-15,-207.51539967912169,0.0,0.0,0.0,4.083578603274441e-19,0.0,0.0,-33393.0
t24,30620.48545326464,3.692932593600448e-15,-225.48545326463562,0.0,0.0,0.0,4.0835785926721506e-19,0.0,0.0,-30395.0
t25,27063.30327719471,3.692910147227346e-15,-223.3032771947074,0.0,0.0,0.0,4.083578562379892e-19,0.0,0.0,-26840.0
t26,26192.02404311906,3.698162258355243e-15,-166.02404311906014,0.0,0.0,0.0,4.083578576263844e-19,0.0,0.0,-26026.0
t27,25684.02561514581,3.6986589823810325e-15,-181.02561514580754,0.0,0.0,0.0,4.0835785704578275e-19,0.0,0.0,-25503.0
t28,26291.296416295547,3.697167251275004e-15,-199.29641629554402,0.0,0.0,0.0,4.083578575758973e-19,0.0,0.0,-26092.0
t29,26803.985132313752,3.69555783366771e-15,-215.98513231374778,0.0,0.0,0.0,4.083578576263844e-19,0.0,0.0,-26588.0
t30,28306.100962175817,3.695175518646804e-15,-217.10096217581594,0.0,0.0,0.0,4.0835785803028116e-19,0.0,0.0,-28089.0
t31,30727.494730589497,3.7007384229341355e-15,-163.49473058949678,0.0,0.0,0.0,4.0835785931770216e-19,0.0,0.0,-30564.0
t32,34135.93352627776,3.700219622388375e-15,-181.93352627775386,0.0,0.0,0.0,4.0835786158962156e-19,0.0,0.0,-33954.0
t33,36193.4747865756,3.698720397956575e-15,-203.47478657559282,0.0,0.0,0.0,4.083578605798796e-19,0.0,0.0,-35990.0
t34,37693.80551963499,3.696858556879579e-15,-224.8055196349816,0.0,0.0,0.0,4.0835786239741513e-19,0.0,0.0,-37469.0
t35,38224.69570483168,3.696689689198297e-15,-221.6957048316799,0.0,0.0,0.0,4.083578604284183e-19,0.0,0.0,-38003.0
t36,39580.389065230775,3.701994061080307e-15,-166.3890652307669,0.0,0.0,0.0,4.083578609837764e-19,0.0,0.0,-39414.0
t37,39914.60155055663,3.7020264828380066e-15,-181.6015505566242,0.0,0.0,0.0,4.0835786179156996e-19,0.0,0.0,-39733.0
t38,37543.77600920749,3.700470933713744e-15,-196.7760092074934,0.0,0.0,0.0,4.0835785951965055e-19,0.0,0.0,-37347.0
t39,36249.66892141811,3.698458131037583e-15,-209.66892141810973,0.0,0.0,0.0,4.0835785931770216e-19,0.0,0.0,-36040.0
t40,36619.358623562424,3.698043421969528e-15,-201.3586235624307,0.0,0.0,0.0,4.0835786010025218e-19,0.0,0.0,-36418.0
