BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t859,36912.414781955624,1.4342264056950277e-10,-2.414781955758161,0.0,0.0,0.0,1.5653127309494556e-14,0.0,0.0,-36910.0
t860,37755.39004255065,1.4363937085570802e-10,-2.3900425507937477,0.0,0.0,0.0,1.5665414148138034e-14,0.0,0.0,-37753.0
t861,36238.5437215586,1.4268260228607013e-10,-2.5437215587386026,0.0,0.0,0.0,1.5665781963691837e-14,0.0,0.0,-36236.0
t862,34999.52788161255,1.4302372325510855e-10,-2.5278816126960297,0.0,0.0,0.0,1.567527837670998e-14,0.0,0.0,-34997.0
t863,32834.52432842055,1.4274813464192614e-10,-2.5243284206911185,0.0,0.0,0.0,1.5679615006391252e-14,0.0,0.0,-32832.0
t864,29962.5193272042,1.4251322474052497e-10,-2.51932720433726,0.0,0.0,0.0,1.5680108050652085e-14,0.0,0.0,-29960.0
t865,26343.569896847926,1.4204178117531004e-10,-2.569896848070229,0.0,0.0,0.0,1.568410245537229e-14,0.0,0.0,-26341.0
t866,24815.696126314244,1.409572380744985e-10,-2.696126314384329,0.0,0.0,0.0,1.5670778585476783e-14,0.0,0.0,-24813.0
t867,24396.65181922866,1.4108509504239233e-10,-2.6518192288030233,0.0,0.0,0.0,1.5669343008289498e-14,0.0,0.0,-24394.0
t868,24698.582918030676,1.4130556282731685e-10,-2.5829180308195108,0.0,0.0,0.0,1.5672485873772705e-14,0.0,0.0,-24696.0
t869,25093.546074480095,1.4154616693486807e-10,-2.5460744802336404,0.0,0.0,0.0,1.5670158557452592e-14,0.0,0.0,-25091.0
t870,26576.4466383767,1.4193569826943466e-10,-2.4466383768440516,0.0,0.0,0.0,1.566439303242543e-14,0.0,0.0,-26574.0
t871,30575.42713018399,1.422308784595304e-10,-2.4271301841391573,0.0,0.0,0.0,1.564730578888326e-14,0.0,0.0,-30573.0
t872,36240.57695107372,1.4246450061414576e-10,-2.576951073862288,0.0,0.0,0.0,1.561292717137278e-14,0.0,0.0,-36238.0
t873,37681.47758646663,1.429767405164616e-10,-2.477586466770262,0.0,0.0,0.0,1.5611137260013035e-14,0.0,0.0,-37679.0
t874,37103.39642602834,1.4232784443584305e-10,-2.396426028473456,0.0,0.0,0.0,1.5618736809588296e-14,0.0,0.0,-37101.0
t875,36230.52012793304,1.4128159941462439e-10,-2.5201279331897166,0.0,0.0,0.0,1.5623404561370996e-14,0.0,0.0,-36228.0
t876,36529.79221230244,1.4040539774815972e-10,-2.7922123025751446,0.0,0.0,0.0,1.5610903257749753e-14,0.0,0.0,-36527.0
t877,36417.69133594928,1.4096327686038597e-10,-2.6913359494202695,0.0,0.0,0.0,1.561202100282279e-14,0.0,0.0,-36415.0
t878,34846.73657224971,1.41148464518196e-10,-2.7365722498582126,0.0,0.0,0.0,1.5613786902348615e-14,0.0,0.0,-34844.0
t879,34247.723381468786,1.414301127571984e-10,-2.7233814689230535,0.0,0.0,0.0,1.5615444657112274e-14,0.0,0.0,-34245.0
t880,35013.47759601608,1.4212794959531716e-10,-2.4775960162147648,0.0,0.0,0.0,1.5612335756476447e-14,0.0,0.0,-35011.0
t881,36654.595927048445,1.408430174155204e-10,-2.5959270485823525,0.0,0.0,0.0,1.559145497496689e-14,0.0,0.0,-36652.0
t882,39200.14313580594,1.4572846382484038e-10,-2.143135806087418,0.0,0.0,0.0,1.5622561877552095e-14,0.0,0.0,-39198.0
t883,40027.03437869756,1.4729865739579464e-10,-3.0343786977033953,0.0,0.0,0.0,1.56292249763097e-14,0.0,0.0,-40024.0
t884,37438.11601687588,1.4620702764268317e-10,-2.1160168760231803,0.0,0.0,0.0,1.563577277506874e-14,0.0,0.0,-37436.0
t885,36202.0787722166,1.464713220131896e-10,-2.078772216735771,0.0,0.0,0.0,1.56385420137393e-14,0.0,0.0,-36200.0
