BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t60,27095.149954047196,1.2759195293263752e-10,-101.14995404732147,0.0,0.0,0.0,1.3625046065281746e-14,0.0,0.0,-26994.0
t61,28296.49786991565,1.2735615837411707e-10,-100.49786991578098,0.0,0.0,0.0,1.362504609635918e-14,0.0,0.0,-28196.0
t62,29092.76314208691,1.2862511518474505e-10,-83.76314208703832,0.0,0.0,0.0,1.3625046101136471e-14,0.0,0.0,-29009.0
t63,31022.74939078539,1.2869165633059108e-10,-83.74939078551579,0.0,0.0,0.0,1.3625046149358516e-14,0.0,0.0,-30939.0
t64,34866.2624826659,1.2851748265348397e-10,-81.26248266603389,0.0,0.0,0.0,1.3625046319197113e-14,0.0,0.0,-34785.0
t65,39223.12357925544,1.2836098241597204e-10,-94.12357925556938,0.0,0.0,0.0,1.3625047107732881e-14,0.0,0.0,-39129.0
t66,42616.70585153718,1.4995188561293453e-10,-203.70585153734027,0.0,0.0,0.0,1.3625079772053217e-14,0.0,0.0,-42413.0
t67,39550.17672220259,1.2858176801854696e-10,-113.17672220272537,0.0,0.0,0.0,1.3625047177831591e-14,0.0,0.0,-39437.0
t68,32981.38559052513,1.2847624746026435e-10,-72.38559052526388,0.0,0.0,0.0,1.3625046197788971e-14,0.0,0.0,-32909.0
t69,30089.999321130017,1.2793829057632642e-10,-82.9993211301416,0.0,0.0,0.0,1.3625046135231822e-14,0.0,0.0,-30007.0
t70,26583.68584272614,1.2761771725351697e-10,-87.68584272626958,0.0,0.0,0.0,1.36250460612347e-14,0.0,0.0,-26496.0
t71,23302.700453000733,1.2730264746456216e-10,-90.70045300086078,0.0,0.0,0.0,1.3625046011836508e-14,0.0,0.0,-23212.0
t72,21197.358064178647,1.282462705827942e-10,-84.3580641787775,0.0,0.0,0.0,1.3625045979500531e-14,0.0,0.0,-21113.0
t73,19267.051263932208,1.2816449627817103e-10,-88.05126393233485,0.0,0.0,0.0,1.3625045937071982e-14,0.0,0.0,-19179.0
t74,17926.38932443321,1.2772881591521882e-10,-93.38932443333826,0.0,0.0,0.0,1.3625045908616646e-14,0.0,0.0,-17833.0
t75,16936.833742686085,1.2719928723551532e-10,-98.83374268621135,0.0,0.0,0.0,1.3625045892016488e-14,0.0,0.0,-16838.0
t76,16574.620402497578,1.2697708327498644e-10,-99.62040249770436,0.0,0.0,0.0,1.3625045887021092e-14,0.0,0.0,-16475.0
t77,16324.959021164806,1.2785427267664058e-10,-89.95902116493156,0.0,0.0,0.0,1.3625045901126784e-14,0.0,0.0,-16235.0
